Panamax Bulk Period Fixtures,,,,,,,,,,,,,,,,,
Fixtures are provided as reported and are not comprehensive.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Created 17 July 2014 11:19,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Date,Name,Built,Dwt,Quantity,Type,Charterer,Delivery,Load,Discharge,Redel,Laycan From,Laycan To,Rate,Unit,Period,Ballast Bonus,Owner
30/12/2011,Christianna,2010,82176,0,PERIOD,CARGILL,XINGANG,,WORLD WIDE,WORLD WIDE,01/01/2012,05/01/2012,,$/Day,10-15 Months,,Modion Maritime S.A.
23/12/2011,W Sky,2011,92929,0,PERIOD,NORDEN,JINTANG,,WORLD WIDE,WORLD WIDE,25/12/2011,30/12/2011,10000,$/Day,11-13 Months,,W Marine Inc.
23/12/2011,Ever Mighty,1996,75265,0,PERIOD,CNR,KWANGYANG,,WORLD WIDE,WORLD WIDE,31/12/2011,05/01/2012,10750,$/Day,4-6 Months,,ID Shipping
22/12/2011,Coral Seas,2006,74477,0,PERIOD,MORGAN STANLEY,FAR EAST,,WORLD WIDE,WORLD WIDE,30/01/2012,30/01/2012,12000,$/Day,23-25 Months,,Paragon Shpg.
20/12/2011,Gurasis,1996,75264,0,PERIOD,CNR,Lianyungang,,WORLD WIDE,WORLD WIDE,27/12/2011,05/01/2012,12300,$/Day,3-5 Months,,Bhatia Singapore
20/12/2011,Atlantic Hawk,2002,74204,0,PERIOD,NORDEN,JINTANG,,WORLD WIDE,WORLD WIDE,22/12/2011,25/12/2011,12500,$/Day,4-6 Months,,Livanos Group
19/12/2011,Lyric Sun,2011,81450,0,PERIOD,GLENCORE,HUALIEN,,WORLD WIDE,WORLD WIDE,19/12/2011,19/12/2011,13000,$/Day,4-6 Months,,Orpheus Marine
19/12/2011,Great Rich,2012,76700,0,PERIOD,GLENCORE,HUANGPU,,WORLD WIDE,WORLD WIDE,10/01/2012,20/01/2012,13000,$/Day,4-6 Months,,
16/12/2011,Lyric Star,2011,81276,0,PERIOD,SWISS MARINE,GANGAVARAM,,WORLD WIDE,WORLD WIDE,16/12/2011,16/12/2011,13000,$/Day,3-5 Months,,Orpheus Marine
16/12/2011,Triton,2001,75336,0,PERIOD,CNR,QINZHOU,,WORLD WIDE,WORLD WIDE,01/01/2012,10/01/2012,12250,$/Day,4-6 Months,,Diana Shipping Inc.
