Panamax Bulk Spot Fixtures,,,,,,,,,,,,,,,,
Fixtures are provided as reported and are not comprehensive.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Created 17 July 2014 13:56,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Date,Name,Built,Dwt,Quantity,Type,Charterer,Delivery,Load,Discharge,Redel,Laycan From,Laycan To,Rate,Unit,Ballast Bonus,Owner
30/12/2011,Centrans Lucky,2009,93111,0,TCT,BHP BILLITON,LONGKOU,HAY POINT,NORTH CHINA,NORTH CHINA,30/12/2011,30/12/2011,8250,$/Day,,Tianjin Zhongtong
30/12/2011,Flama,2011,80448,0,TCT,LOUIS DREYFUS,HALDIA,ECSA,SINGAPORE-JAPAN,SINGAPORE-JAPAN,30/12/2011,30/12/2011,13250,$/Day,,Cerrahgil Denizcilik
30/12/2011,Jia Da,2010,75500,0,TCT,LOUIS DREYFUS,ZHENJIANG,NOPAC,SINGAPORE-JAPAN,SINGAPORE-JAPAN,01/01/2012,05/01/2012,11000,$/Day,,HTM Shipping Co. Ltd
30/12/2011,Adriatica Graeca,2002,73900,0,TCT,CNR,NANTONG,USGF,JAPAN,JAPAN,30/12/2011,30/12/2011,12000,$/Day,,Angelakos Ltd.
30/12/2011,Clipper Emperor,2000,74381,0,TCT,ATLANTIC COAL AND BULK,GDYNIA,VENTSPILS,CONTINENT,CONTINENT,31/12/2011,05/01/2012,17800,$/Day,,Clipper Group
30/12/2011,Marbella,2000,72561,0,TCT,OLDENDORFF,KINUURA,USGF,SINGAPORE-JAPAN,SINGAPORE-JAPAN,30/12/2011,30/12/2011,11250,$/Day,,Dryships Inc.
30/12/2011,Key Frontier,2011,80679,75000,ORE,ARCELOR-MITTAL,,NOUADHIBOU,DUNKIRK,,01/01/2012,15/01/2012,9.5,$/Tonne,,Aquarian Shell Mar.
30/12/2011,TBN,,0,75000,COAL,ARCELOR-MITTAL,,ROBERTS BANK,PRAIA MOLE,,15/01/2012,25/01/2012,13.15,$/Tonne,,
30/12/2011,Drin,1996,73087,0,TCT,MEDMAR,DUNKIRK,KOKKOLA,TURKEY,TURKEY,31/12/2011,01/01/2012,16000,$/Day,,Gestion Maritime
29/12/2011,Kind Seas,1999,72493,0,TCT,OLDENDORFF,KAMSAR,KAMSAR,STADE,STADE,19/01/2012,21/01/2012,13000,$/Day,280000,Paragon Shpg.
29/12/2011,C. Journey,1995,73095,0,TCT,CARGILL,HOUSTON,HOUSTON,HUNTERSTON,HUNTERSTON,15/01/2012,25/01/2012,15000,$/Day,450000,Chang Myung Shipping
29/12/2011,Dimitris L,2001,73193,0,TCT,CNR,COGH,ECSA,SINGAPORE-JAPAN,SINGAPORE-JAPAN,09/01/2012,14/01/2012,14500,$/Day,475000,Vrontados Shipping
29/12/2011,Ribbon,1998,74522,0,TCT,NORDEN,NANTONG,NOPAC,SINGAPORE-JAPAN,SINGAPORE-JAPAN,29/12/2011,29/12/2011,10000,$/Day,,Augustea Ship Mngt
