Panamax Bulker Register,,,,,,,,,,,
"Bulkers 65,000 - 99,999 dwt",,,,,,,,,,,
,,,,,,,,,,,
Created 17 July 2014 15:18,,,,,,,,,,,
,,,,,,,,,,,
Type,Hull Type,Name,Size,Unit,Dwt,GT,Flag,Built,Mn,Yard,Current Owner
Bulk,,Shen Hua 808,"75,331.00",DWT,75331,40943,Peoples' Republic of China,2014,7,Jiangnan SY Group,Shenhua Group
Bulk,,Rong Sheng 99,"75,491.00",DWT,75491,41605,Peoples' Republic of China,2014,6,Jiangsu Rongsheng,Minsheng Financial
Bulk,,Shen Hua 806,"75,331.00",DWT,75331,40943,Peoples' Republic of China,2014,6,Jiangnan SY Group,Shenhua Group
Bulk,,Sun Excelsior,"77,160.00",DWT,77160,40944,Panama,2014,6,Imabari S.B.,Misuga Kaiun Co. Ltd
Bulk,,Morning Salute,"88,909.00",DWT,88909,49736,Panama,2014,7,Imabari S.B.,Nippon Yusen Kaisha
Bulk,,United Legacy,"81,344.00",DWT,81344,43068,Panama,2014,6,Oshima S.B. Co.,United Ocean
Bulk,,AOM Gaia,"82,146.00",DWT,82146,43022,Singapore,2014,6,Tsuneishi Cebu,Augustea Oceanbulk
Bulk,,Energy Sunrise,"81,793.00",DWT,81793,43024,Panama,2014,6,Tsuneishi Zosen,Mitsui O.S.K. Lines
Bulk,,Sunny Eternity,"77,211.00",DWT,77211,40978,Panama,2014,6,Oshima S.B. Co.,Unknown
Bulk,,Double Miracle,"95,570.00",DWT,95570,50594,Panama,2014,6,Imabari S.B.,Kyowa Kisen K.K.
Bulk,,Hercules Ocean,"81,084.00",DWT,81084,43291,Singapore,2014,6,Japan Marine United,Mitsubishi Corp.
Bulk,,CSK Longevity,"77,102.00",DWT,77102,40963,Singapore,2014,6,Imabari S.B.,Tai Chong Cheang
Bulk,,Sasebo Eco,"77,888.00",DWT,77888,41773,Marshall Islands,2014,6,Sasebo H.I.,Fundador Naviera
Bulk,,Crystal Star,"82,172.00",DWT,82172,43432,Panama,2014,6,Sanoyas S.B. Corp,Nissen Kaiun K.K.
Bulk,,Magnum Opus,"81,022.00",DWT,81022,43291,Marshall Islands,2014,5,Japan Marine United,Star Bulk Carriers
Bulk,,Tong Shun,"81,162.00",DWT,81162,44090,Panama,2014,5,Jinling Shipyard,Qingdao Da Tong
Bulk,,AOM Georgina,"82,146.00",DWT,82146,43022,Singapore,2014,6,Tsuneishi Cebu,Augustea Oceanbulk
Bulk,,AM Zenica,"76,089.00",DWT,76089,41254,Marshall Islands,2014,5,Hudong Zhonghua,ArcelorMittal Shpg.
Bulk,,Corona Ace,"88,994.00",DWT,88994,49762,Panama,2014,5,Imabari S.B.,K-Line
Bulk,,Golden Ruby,"74,300.00",DWT,74300,41718,Hong Kong,2014,5,Pipavav Shipyd.,Fredriksen Group
Bulk,,Scarlet Island,"81,842.00",DWT,81842,42995,Panama,2014,5,Tsuneishi Cebu,K-Line
Bulk,,Atrotos Heracles,"81,922.00",DWT,81922,43007,Panama,2014,5,Tsuneishi Zhoushan,Ariston Navigation
Bulk,,Energy Prometheus,"85,555.00",DWT,85555,46700,Panama,2014,5,Oshima S.B. Co.,Mitsui O.S.K. Lines
Bulk,,New Explorer,"79,450.00",DWT,79450,43498,Liberia,2014,5,Jinhai Heavy Ind.,New Shipping
Bulk,,Atalandi,"76,500.00",DWT,76500,41882,Greece,2014,5,Jiangnan SY Group,Diana Shipping Inc.
Bulk,,Sea Pegasus,"81,715.00",DWT,81715,44276,Marshall Islands,2014,5,Wuchang S.B.,Fredriksen Group
Bulk,,Rio Tamara,"75,610.00",DWT,75610,41218,Liberia,2014,4,Taizhou Catic SB,MST - Mineralien
Bulk,,Shen Hua 805,"75,347.00",DWT,75347,40943,Peoples' Republic of China,2014,4,Jiangnan SY Group,Shenhua Group
Bulk,,La Donna I,"79,200.00",DWT,79200,43717,Marshall Islands,2014,4,Jiangsu Eastern,"Moundreas, N.G."
Bulk,,Flag Evi,"82,629.00",DWT,82629,45223,Panama,2014,4,STX Shipbuild.,Golden Union
Bulk,,Shao Shan 8,"75,366.00",DWT,75366,40913,Hong Kong,2014,4,Huangpu Wenchong (H),COSCO Group
Bulk,,Shandong Hai Wang,"75,538.00",DWT,75538,41605,Peoples' Republic of China,2014,3,Jiangsu Rongsheng,Shandong Ocean
Bulk,,Scarlet Falcon,"82,260.00",DWT,82260,43715,Panama,2014,4,Oshima S.B. Co.,K-Line
Bulk,,Shen Hua 812,"76,124.00",DWT,76124,42203,Peoples' Republic of China,2014,4,Shanhaiguan S.Y.,Shenhua Group
Bulk,,Tsu Ebisu,"81,001.00",DWT,81001,43291,Marshall Islands,2014,4,Japan Marine United,Star Bulk Carriers
Bulk,,PRT Future,"77,239.00",DWT,77239,40937,Panama,2014,4,Imabari S.B.,Watanabe Print
